"UNIT INFORMATION, 776 Super Units Found & 418 Extreme Units Found",,,,BASE STATS,,,,,,,55% NO DUPES STATS,,,,,,,100% RAINBOW STATS,,,,,
Character,Class,Type,,bHP,4.25,bATK,3.26,bDEF,4.43,,_55HP,4.12,_55ATK,3.15,_55DEF,4.20,,_100HP,3.90,_100ATK,2.99,_100DEF,3.74
Furious Instincts Great Saiyaman (SS2),Super,PHY,,"8,745",-0.69,"8,352",-0.66,"4,347",-0.78,,"10,745",-0.59,"10,352",-0.54,"6,347",-0.6,,"14,145",-0.32,"13,352",-0.41,"8,947",-0.51
Destruction Descending Buu (Super),Extreme,TEQ,,"9,057",-0.59,"8,447",-0.62,"4,448",-0.72,,"11,057",-0.5,"10,447",-0.5,"6,448",-0.54,,"13,657",-0.46,"13,847",-0.24,"9,448",-0.27
Trustworthy Rival Vegeta,Super,INT,,"8,585",-0.74,"8,711",-0.51,"4,354",-0.78,,"10,585",-0.64,"10,711",-0.4,"6,354",-0.6,,"13,585",-0.48,"13,711",-0.29,"9,354",-0.32
The Hope of the Universe Goku,Super,STR,,"10,756",-0.05,"7,805",-0.88,"4,401",-0.75,,"12,756",0.02,"9,805",-0.74,"6,401",-0.57,,"15,756",0.13,"13,205",-0.46,"9,001",-0.48
Clever Strategy Paikuhan,Super,TEQ,,"9,529",-0.44,"7,805",-0.88,"5,015",-0.38,,"11,529",-0.35,"9,805",-0.74,"7,015",-0.23,,"14,129",-0.33,"13,205",-0.46,"10,015",-0.01
Imprinted Discipline Whis,Super,TEQ,,"9,021",-0.6,"7,433",-1.03,"5,358",-0.18,,"11,021",-0.51,"9,433",-0.88,"7,358",-0.05,,"13,621",-0.47,"12,833",-0.59,"10,358",0.15
Accelerated Battle Super Saiyan God Goku,Super,INT,,"9,389",-0.48,"8,426",-0.63,"3,933",-1.03,,"11,389",-0.4,"10,426",-0.51,"5,933",-0.83,,"14,389",-0.25,"13,426",-0.39,"8,933",-0.51
Guide to the New Beyond Whis,Super,INT,,"8,929",-0.63,"7,654",-0.94,"5,128",-0.32,,"10,929",-0.53,"9,654",-0.8,"7,128",-0.17,,"13,929",-0.38,"12,654",-0.65,"10,128",0.04
Fateful Strike Super Saiyan God Goku,Super,PHY,,"8,655",-0.72,"7,410",-1.03,"4,535",-0.67,,"9,855",-0.86,"8,610",-1.2,"5,735",-0.93,,"11,895",-0.95,"10,410",-1.4,"7,295",-1.27
Light Orb of Hatred Fusion Android #13,Extreme,INT,,"8,880",-0.64,"7,173",-1.13,"6,316",0.39,,"10,880",-0.55,"9,173",-0.98,"8,316",0.48,,"13,880",-0.4,"12,173",-0.81,"11,316",0.59
Reckless Strength Super Saiyan Gotenks,Super,AGL,,"9,246",-0.53,"8,371",-0.65,"4,448",-0.72,,"11,246",-0.44,"10,371",-0.53,"6,448",-0.54,,"13,846",-0.4,"13,371",-0.4,"9,848",-0.09
Blazing Fusion Warrior Super Saiyan 3 Gotenks (Teen),Super,TEQ,,"9,718",-0.38,"8,107",-0.75,"4,543",-0.66,,"11,718",-0.3,"10,107",-0.63,"6,543",-0.49,,"14,318",-0.27,"13,507",-0.36,"9,543",-0.23
Accrued Strength Super Saiyan Goku,Super,INT,,"8,929",-0.63,"8,021",-0.79,"4,669",-0.59,,"10,929",-0.53,"10,021",-0.66,"6,669",-0.42,,"13,929",-0.38,"13,021",-0.52,"9,669",-0.17
Victory at Hand Gotenks,Super,STR,,"8,585",-0.74,"8,673",-0.53,"4,401",-0.75,,"10,585",-0.64,"10,673",-0.41,"6,401",-0.57,,"13,585",-0.48,"14,073",-0.17,"9,001",-0.48
Struggle Beyond All Expectations Super Saiyan Goten (Kid),Super,AGL,,"9,021",-0.6,"7,764",-0.89,"4,944",-0.43,,"11,021",-0.51,"9,764",-0.76,"6,944",-0.27,,"13,621",-0.47,"12,764",-0.61,"10,344",0.14
Clever Tactics Android #18,Super,STR,,"8,868",-0.65,"8,333",-0.66,"4,684",-0.58,,"10,868",-0.55,"10,333",-0.54,"6,684",-0.41,,"13,868",-0.4,"13,733",-0.28,"9,284",-0.35
Glorious Battle Super Saiyan Trunks (Kid),Super,PHY,,"9,664",-0.4,"7,654",-0.94,"4,761",-0.53,,"11,664",-0.31,"9,654",-0.8,"6,761",-0.37,,"15,064",-0.07,"12,654",-0.65,"9,361",-0.31
"Low-Class, High-Octane Bardock (Giant Ape)",Super,TEQ,,"9,481",-0.45,"8,316",-0.67,"4,025",-0.97,,"11,481",-0.37,"10,316",-0.55,"6,025",-0.78,,"14,081",-0.34,"13,716",-0.29,"9,025",-0.47
Tenacious Battlefield Diva Fasha (Giant Ape),Super,STR,,"9,021",-0.6,"7,948",-0.82,"4,715",-0.56,,"11,021",-0.51,"9,948",-0.69,"6,715",-0.4,,"14,021",-0.36,"13,348",-0.41,"9,315",-0.33
Power for the Death-Match Vegeta (Giant Ape),Extreme,AGL,,"8,286",-0.83,"8,279",-0.68,"4,669",-0.59,,"10,286",-0.73,"10,279",-0.56,"6,669",-0.42,,"12,886",-0.67,"13,279",-0.44,"10,069",0.01
Atrocious Crackdown Raditz (Giant Ape),Extreme,STR,,"9,021",-0.6,"7,801",-0.88,"4,898",-0.45,,"11,021",-0.51,"9,801",-0.74,"6,898",-0.3,,"14,021",-0.36,"13,201",-0.46,"9,498",-0.25
Outcome of Hardship Goku (Youth) (Giant Ape),Extreme,PHY,,"9,481",-0.45,"7,838",-0.86,"4,623",-0.62,,"11,481",-0.37,"9,838",-0.73,"6,623",-0.45,,"14,881",-0.12,"12,838",-0.58,"9,223",-0.38
Expanding Possibility Hit,Extreme,INT,,"9,021",-0.6,"8,132",-0.74,"4,485",-0.7,,"11,021",-0.51,"10,132",-0.62,"6,485",-0.52,,"14,021",-0.36,"13,132",-0.49,"9,485",-0.26
Wise Warrior Piccolo,Super,INT,,"9,481",-0.45,"7,360",-1.05,"5,220",-0.26,,"11,481",-0.37,"9,360",-0.91,"7,220",-0.12,,"14,481",-0.23,"12,360",-0.74,"10,220",0.09
Time's Guidance Super Saiyan Trunks (Xeno),Super,AGL,,"9,664",-0.4,"8,205",-0.71,"4,071",-0.95,,"11,664",-0.31,"10,205",-0.59,"6,071",-0.75,,"14,264",-0.29,"13,205",-0.46,"9,471",-0.26
Trusted Winner Super Saiyan Trunks (GT),Super,TEQ,,"8,722",-0.69,"7,114",-1.15,"5,408",-0.15,,"10,722",-0.6,"9,114",-1,"7,408",-0.02,,"13,322",-0.55,"12,514",-0.69,"10,408",0.17
Father and Son Limit-Breakers Barlot,Super,STR,,"9,021",-0.6,"8,095",-0.76,"4,531",-0.67,,"11,021",-0.51,"10,095",-0.63,"6,531",-0.5,,"14,021",-0.36,"13,495",-0.36,"9,131",-0.42
Love of the Throne Majin Buu (Gotenks),Extreme,PHY,,"9,320",-0.51,"8,456",-0.61,"4,118",-0.92,,"11,320",-0.42,"10,456",-0.5,"6,118",-0.72,,"14,720",-0.16,"13,456",-0.38,"8,718",-0.61
Vanguard Warrior's True Value Super Saiyan 2 Gohan (Teen),Super,PHY,,"8,745",-0.69,"8,426",-0.63,"4,255",-0.84,,"10,745",-0.59,"10,426",-0.51,"6,255",-0.65,,"14,145",-0.32,"13,426",-0.39,"8,855",-0.55
Immutable Fighter Super Vegeta,Super,AGL,,"8,286",-0.83,"7,470",-1.01,"5,680",0.01,,"10,286",-0.73,"9,470",-0.87,"7,680",0.13,,"12,886",-0.67,"12,470",-0.71,"11,080",0.48
Zealous Roar Super Saiyan Goku,Super,STR,,"9,021",-0.6,"7,874",-0.85,"4,806",-0.51,,"11,021",-0.51,"9,874",-0.72,"6,806",-0.35,,"14,021",-0.36,"13,274",-0.44,"9,406",-0.29
Zealous Offensive Super Saiyan 3 Goku (GT),Super,AGL,,"9,786",-0.36,"7,785",-0.88,"4,724",-0.56,,"11,786",-0.28,"9,785",-0.75,"6,724",-0.39,,"14,386",-0.25,"12,785",-0.6,"10,124",0.04
Limitless Saiyan Super Saiyan 3 Vegeta (GT),Super,STR,,"9,134",-0.56,"8,232",-0.7,"4,491",-0.7,,"11,134",-0.47,"10,232",-0.58,"6,491",-0.52,,"14,134",-0.32,"13,632",-0.32,"9,091",-0.44
Hero on a Mission Tapion,Super,TEQ,,"9,320",-0.51,"8,195",-0.72,"4,444",-0.72,,"11,320",-0.42,"10,195",-0.59,"6,444",-0.55,,"13,920",-0.38,"13,595",-0.33,"9,444",-0.27
Phantom Majin Sealed Within Tapion (Hirudegarn),Super,AGL,,"7,923",-0.95,"8,344",-0.66,"4,956",-0.42,,"9,923",-0.84,"10,344",-0.54,"6,956",-0.27,,"12,523",-0.77,"13,344",-0.41,"10,356",0.15
Utopia Realized Zamasu,Extreme,INT,,"8,481",-0.77,"8,158",-0.73,"4,910",-0.45,,"10,481",-0.67,"10,158",-0.61,"6,910",-0.29,,"13,481",-0.51,"13,158",-0.48,"9,910",-0.06
Unwavering Conviction Super Saiyan Trunks (Future),Super,STR,,"8,947",-0.62,"9,238",-0.3,"3,326",-1.39,,"10,947",-0.53,"11,238",-0.2,"5,326",-1.16,,"13,947",-0.38,"14,638",0.02,"7,926",-0.98
Flaring Battle Impulse Super Saiyan God Goku,Super,AGL,,"8,820",-0.66,"8,089",-0.76,"5,438",-0.13,,"10,820",-0.57,"10,089",-0.63,"7,438",0,,"13,420",-0.52,"13,089",-0.5,"10,838",0.37
Boundless Potential Super Saiyan 2 Caulifla,Super,AGL,,"10,251",-0.21,"7,859",-0.85,"4,398",-0.75,,"12,251",-0.14,"9,859",-0.72,"6,398",-0.57,,"14,851",-0.13,"12,859",-0.58,"9,798",-0.11
Drive to Win Super Saiyan God SS Goku,Super,STR,,"9,786",-0.36,"7,934",-0.82,"4,537",-0.67,,"11,786",-0.28,"9,934",-0.69,"6,537",-0.5,,"14,786",-0.14,"13,334",-0.42,"9,137",-0.42
Divine Power Within Super Saiyan God Goku,Super,STR,,"10,997",0.03,"8,344",-0.66,"3,420",-1.33,,"12,997",0.09,"10,344",-0.54,"5,420",-1.11,,"15,997",0.19,"13,744",-0.28,"8,020",-0.94
Awakened Berserker Kale (Berserk),Super,PHY,,"9,692",-0.39,"8,791",-0.48,"3,513",-1.28,,"11,692",-0.3,"10,791",-0.37,"5,513",-1.06,,"15,092",-0.06,"13,791",-0.26,"8,113",-0.89
Dreadful Super Fusion Super Saiyan 2 Kefla,Super,PHY,,"8,295",-0.83,"8,865",-0.45,"4,118",-0.92,,"10,295",-0.73,"10,865",-0.34,"6,118",-0.72,,"13,695",-0.45,"13,865",-0.24,"8,718",-0.61
Swirling Ambition Turles  (Giant Ape),Extreme,AGL,,"9,849",-0.34,"7,727",-0.91,"4,577",-0.64,,"11,848",-0.26,"9,727",-0.77,"6,577",-0.47,,"14,448",-0.24,"12,727",-0.62,"9,977",-0.03
Rising to the Challenge Goku,Super,PHY,,"9,756",-0.37,"7,985",-0.8,"4,301",-0.81,,"11,756",-0.28,"9,985",-0.67,"6,301",-0.62,,"15,156",-0.04,"12,985",-0.53,"8,901",-0.53
Wayward God Beerus,Super,INT,,"8,837",-0.66,"8,095",-0.76,"4,623",-0.62,,"10,837",-0.56,"10,095",-0.63,"6,623",-0.45,,"13,837",-0.41,"13,095",-0.5,"9,623",-0.19
Outburst of Emotions Super Saiyan 2 Vegeta & Bulma,Super,STR,,"6,153",-1.51,"8,679",-0.52,"5,422",-0.14,,"8,153",-1.37,"10,679",-0.41,"7,422",-0.01,,"11,153",-1.15,"14,079",-0.17,"10,022",-0.01
Onslaught of Fire and Fury Dyspo (Super Speed More),Super,AGL,,"9,227",-0.54,"8,158",-0.73,"4,537",-0.67,,"11,227",-0.44,"10,158",-0.61,"6,537",-0.5,,"13,827",-0.41,"13,158",-0.48,"9,937",-0.05
Quietly Burning Spirit Android #17,Super,TEQ,,"8,947",-0.62,"7,599",-0.96,"5,376",-0.17,,"10,947",-0.53,"9,599",-0.82,"7,376",-0.04,,"13,547",-0.49,"12,999",-0.53,"10,376",0.16
Unlimited Android Assault Android #18,Super,TEQ,,"8,668",-0.71,"7,897",-0.84,"5,143",-0.31,,"10,668",-0.61,"9,897",-0.71,"7,143",-0.16,,"13,268",-0.57,"13,297",-0.43,"10,143",0.05
Power Beyond Right and Wrong Toppo (God of Destruction Mode),Super,STR,,"7,736",-1.01,"7,748",-0.9,"5,795",0.08,,"9,736",-0.9,"9,748",-0.76,"7,795",0.19,,"12,736",-0.71,"13,148",-0.48,"10,395",0.17
Infinite Love Ribrianne (Giant Form),Super,PHY,,"8,854",-0.65,"8,008",-0.79,"4,910",-0.45,,"10,854",-0.56,"10,008",-0.67,"6,910",-0.29,,"14,254",-0.29,"13,008",-0.53,"9,510",-0.24
Evil Namekian Lord Slug (Giant Form),Extreme,PHY,,"9,134",-0.56,"8,344",-0.66,"4,351",-0.78,,"11,134",-0.47,"10,344",-0.54,"6,351",-0.6,,"14,534",-0.21,"13,344",-0.41,"8,951",-0.5
Grisly Destruction Android #18 (Future),Extreme,AGL,,"10,251",-0.21,"7,822",-0.87,"4,444",-0.72,,"12,251",-0.14,"9,822",-0.74,"6,444",-0.55,,"14,851",-0.13,"12,822",-0.59,"9,844",-0.09
Ruthless Pressure Android #17 (Future),Extreme,PHY,,"9,972",-0.3,"8,046",-0.78,"4,304",-0.81,,"11,972",-0.22,"10,046",-0.65,"6,304",-0.62,,"15,372",0.02,"13,046",-0.51,"8,904",-0.53
Blazing Clash Paikuhan,Super,INT,,"9,624",-0.41,"7,880",-0.85,"4,873",-0.47,,"11,624",-0.32,"9,880",-0.71,"6,873",-0.31,,"14,624",-0.19,"12,880",-0.57,"9,873",-0.08
Burning to the Last Super Saiyan Goku (Angel) (Super Kaioken),Super,PHY,,"8,963",-0.62,"8,371",-0.65,"4,590",-0.64,,"10,963",-0.52,"10,371",-0.53,"6,590",-0.47,,"14,363",-0.26,"13,371",-0.4,"9,190",-0.39
Roaring Hatred from Hell Cell (Perfect Form) (GT),Extreme,INT,,"9,274",-0.52,"8,170",-0.73,"4,424",-0.74,,"11,274",-0.43,"10,170",-0.6,"6,424",-0.56,,"14,274",-0.29,"13,170",-0.47,"9,424",-0.28
Victory Clincher Goku (GT),Super,STR,,"8,811",-0.67,"8,281",-0.68,"4,516",-0.68,,"10,811",-0.57,"10,281",-0.56,"6,516",-0.51,,"13,811",-0.41,"13,681",-0.3,"9,116",-0.43
Thundering Wrath from Hell Freeza (Final Form) (GT),Extreme,PHY,,"8,996",-0.61,"8,058",-0.77,"4,702",-0.57,,"10,996",-0.51,"10,058",-0.65,"6,702",-0.4,,"14,396",-0.25,"13,058",-0.51,"9,302",-0.34
New Form and Resolve Android #16,Super,TEQ,,"9,089",-0.58,"7,947",-0.82,"4,794",-0.52,,"11,089",-0.49,"9,947",-0.69,"6,794",-0.35,,"13,689",-0.45,"13,347",-0.41,"9,794",-0.11
Predatory Urge Android #21 (Transformed),Extreme,STR,,"8,162",-0.87,"9,096",-0.36,"3,821",-1.09,,"10,162",-0.77,"11,096",-0.25,"5,821",-0.89,,"13,162",-0.59,"14,496",-0.03,"8,421",-0.75
Plucky Low-Class Warrior Tora (Giant Ape),Super,AGL,,"8,653",-0.72,"8,058",-0.77,"4,761",-0.53,,"10,653",-0.62,"10,058",-0.65,"6,761",-0.37,,"13,253",-0.57,"13,058",-0.51,"10,161",0.06
Greedy Attack Mode Shugesh (Giant Ape),Super,INT,,"9,297",-0.51,"7,617",-0.95,"4,990",-0.4,,"11,297",-0.42,"9,617",-0.81,"6,990",-0.25,,"14,297",-0.28,"12,617",-0.66,"9,990",-0.02
Feverish Battlefield Borgos (Giant Ape),Super,PHY,,"9,113",-0.57,"7,727",-0.91,"4,944",-0.43,,"11,113",-0.48,"9,727",-0.77,"6,944",-0.27,,"14,513",-0.22,"12,727",-0.62,"9,544",-0.23
Catastrophic Rage Freeza (Final Form),Extreme,STR,,"8,069",-0.9,"8,874",-0.45,"4,146",-0.9,,"10,069",-0.79,"10,874",-0.34,"6,146",-0.71,,"13,069",-0.62,"14,274",-0.1,"8,746",-0.6
Determined to Fight Goku (Kaioken),Super,PHY,,"7,513",-1.08,"8,948",-0.42,"4,331",-0.79,,"9,513",-0.96,"10,948",-0.31,"6,331",-0.61,,"12,913",-0.66,"13,948",-0.21,"8,931",-0.51
Universe's Bravest Hercule,Super,INT,,"11,219",0.1,"6,020",-1.59,"6,138",0.29,,"13,219",0.16,"8,020",-1.42,"8,138",0.38,,"16,219",0.25,"11,020",-1.19,"11,138",0.51
Wrathful Eruption Majin Buu (Good),Extreme,STR,,"9,812",-0.35,"7,918",-0.83,"4,731",-0.55,,"11,812",-0.27,"9,918",-0.7,"6,731",-0.39,,"14,812",-0.14,"13,318",-0.42,"9,331",-0.33
Burning Hot Tenacity Super Saiyan Vegeta,Super,TEQ,,"8,533",-0.75,"8,911",-0.43,"3,868",-1.07,,"10,533",-0.65,"10,911",-0.32,"5,868",-0.86,,"13,133",-0.6,"14,311",-0.09,"8,868",-0.54
A Shot at Victory Piccolo,Super,STR,,"9,366",-0.49,"8,133",-0.74,"4,424",-0.74,,"11,366",-0.4,"10,133",-0.62,"6,424",-0.56,,"14,366",-0.26,"13,533",-0.35,"9,024",-0.47
The Love to Light the Future,Super,AGL,,"6,840",-1.29,"7,183",-1.13,"3,851",-1.08,,"8,840",-1.17,"9,183",-0.98,"5,851",-0.87,,"11,440",-1.07,"12,183",-0.8,"9,251",-0.36
Casual Refreshment Android #18,Extreme,TEQ,,"7,058",-1.22,"7,299",-1.08,"3,598",-1.23,,"9,058",-1.1,"9,299",-0.93,"5,598",-1.01,,"11,658",-1.01,"12,699",-0.63,"8,598",-0.67
Soaring Heart Videl,Super,INT,,"7,130",-1.2,"6,893",-1.24,"4,069",-0.95,,"9,130",-1.08,"8,893",-1.09,"6,069",-0.75,,"12,130",-0.88,"11,893",-0.9,"9,069",-0.45
Life of the Party Pan (GT),Super,STR,,"7,420",-1.11,"6,922",-1.23,"3,888",-1.05,,"9,420",-0.99,"8,922",-1.08,"5,888",-0.85,,"12,420",-0.8,"12,322",-0.76,"8,488",-0.72
Unusual Evolution Broly (Wrathful),Extreme,AGL,,"8,347",-0.81,"8,725",-0.51,"4,192",-0.87,,"10,347",-0.71,"10,725",-0.39,"6,192",-0.68,,"12,947",-0.65,"13,725",-0.29,"9,592",-0.21
God's Effortless Controlling Aura Super Saiyan God Goku,Super,TEQ,,"7,328",-1.14,"8,688",-0.52,"4,748",-0.54,,"9,328",-1.02,"10,688",-0.41,"6,748",-0.38,,"11,928",-0.94,"14,088",-0.16,"9,748",-0.13
Troublesome Father and Son Paragus & Broly,Extreme,INT,,"8,903",-0.64,"8,429",-0.62,"4,285",-0.82,,"10,903",-0.54,"10,429",-0.51,"6,285",-0.63,,"13,903",-0.39,"13,429",-0.39,"9,285",-0.35
Devastating Fighting Spirit of God Super Saiyan God Vegeta,Super,STR,,"7,421",-1.11,"8,614",-0.55,"4,794",-0.52,,"9,424",-0.99,"10,614",-0.44,"6,794",-0.35,,"12,421",-0.8,"14,014",-0.19,"9,394",-0.3
Shopping with Dad Bulla,Super,TEQ,,"6,869",-1.28,"7,651",-0.94,"3,994",-0.99,,"8,869",-1.16,"9,651",-0.8,"5,994",-0.79,,"11,469",-1.06,"13,051",-0.51,"8,994",-0.48
Vow of Happiness Chi-Chi,Super,STR,,"7,721",-1.01,"7,094",-1.16,"4,265",-0.83,,"9,721",-0.9,"9,094",-1.01,"6,265",-0.64,,"12,721",-0.72,"12,494",-0.7,"8,865",-0.54
Confidence-Imbuing Moment Super Saiyan Trunks (GT),Super,AGL,,"9,435",-0.47,"7,918",-0.83,"4,920",-0.44,,"11,435",-0.38,"9,918",-0.7,"6,920",-0.29,,"14,035",-0.35,"12,918",-0.56,"10,320",0.13
Desperate Showdown Super Saiyan 2 Goku (Angel),Super,AGL,,"8,987",-0.61,"8,810",-0.47,"4,404",-0.75,,"10,987",-0.52,"10,810",-0.36,"6,404",-0.57,,"13,587",-0.48,"13,810",-0.26,"9,804",-0.11
Potent Super Attack Goku (Kaioken),Super,TEQ,,"6,697",-1.34,"9,051",-0.37,"4,873",-0.47,,"8,697",-1.21,"11,051",-0.27,"6,873",-0.31,,"11,297",-1.11,"14,451",-0.04,"9,873",-0.08
Non-Negotiable Resolve Majin Vegeta,Extreme,STR,,"7,727",-1.01,"9,430",-0.22,"4,259",-0.83,,"9,727",-0.9,"11,430",-0.13,"6,259",-0.65,,"12,727",-0.72,"14,830",0.09,"8,859",-0.55
Dynamic Flash Super Saiyan 2 Goku (GT),Super,PHY,,"8,868",-0.65,"8,409",-0.63,"4,590",-0.64,,"10,868",-0.55,"10,409",-0.51,"6,590",-0.47,,"14,268",-0.29,"13,409",-0.39,"9,190",-0.39
Explosive Super Elite Vegeta,Extreme,PHY,,"8,396",-0.8,"8,673",-0.53,"4,495",-0.69,,"10,396",-0.7,"10,673",-0.41,"6,495",-0.52,,"13,796",-0.42,"13,673",-0.3,"9,095",-0.44
Mysterious Technique Master Roshi,Super,TEQ,,"8,625",-0.73,"6,650",-1.34,"6,647",0.59,,"10,625",-0.63,"8,650",-1.18,"8,647",0.66,,"13,225",-0.58,"12,050",-0.85,"11,647",0.75
King of the Evil Realm Demon King Piccolo,Extreme,STR,,"10,664",-0.08,"7,873",-0.85,"4,099",-0.93,,"12,664",-0.01,"9,873",-0.72,"6,099",-0.74,,"15,664",0.1,"13,273",-0.44,"8,699",-0.62
New Power from Training Super Vegeta,Super,INT,,"7,977",-0.93,"8,651",-0.54,"4,470",-0.71,,"9,977",-0.82,"10,651",-0.42,"6,470",-0.53,,"12,977",-0.65,"13,651",-0.31,"9,470",-0.26
Overcoming Mental Weakness Bota Magetta,Super,INT,,"11,127",0.07,"7,836",-0.86,"3,914",-1.04,,"13,127",0.13,"9,836",-0.73,"5,914",-0.84,,"16,127",0.23,"12,836",-0.58,"8,914",-0.52
Demonstration of True Strength Frost (Full Power),Extreme,STR,,"7,143",-1.19,"9,244",-0.3,"4,146",-0.9,,"9,143",-1.07,"11,244",-0.2,"6,146",-0.71,,"12,143",-0.88,"14,644",0.02,"8,746",-0.6
Dominance Through Destruction Champa,Extreme,PHY,,"10,001",-0.29,"7,767",-0.89,"4,826",-0.5,,"12,001",-0.21,"9,767",-0.76,"6,826",-0.34,,"15,401",0.03,"12,767",-0.61,"9,426",-0.28
Power to Overcome Adversity Mai (Future),Super,INT,,"10,296",-0.2,"8,140",-0.74,"5,450",-0.12,,"12,296",-0.12,"10,140",-0.62,"7,450",0.01,,"15,296",0,"13,140",-0.48,"10,450",0.19
A Lesson in Good and Evil Gowasu & Zamasu,Super,PHY,,"9,167",-0.55,"8,797",-0.48,"5,193",-0.28,,"11,167",-0.46,"10,797",-0.37,"7,193",-0.14,,"14,567",-0.2,"13,797",-0.26,"9,793",-0.11
Earth-Piercing Light Freeza (Final Form),Extreme,AGL,,"9,270",-0.52,"8,756",-0.49,"5,193",-0.28,,"11,270",-0.43,"10,756",-0.38,"7,193",-0.14,,"13,870",-0.4,"13,756",-0.28,"10,593",0.26
All-New Power Super Saiyan 3 Trunks (Teen),Super,AGL,,"9,989",-0.29,"8,017",-0.79,"5,758",0.06,,"11,989",-0.21,"10,017",-0.66,"7,758",0.17,,"14,589",-0.2,"13,017",-0.52,"11,158",0.52
Swirling Dark Magic Darkness Towa,Extreme,AGL,,"10,091",-0.26,"8,263",-0.69,"5,398",-0.16,,"12,091",-0.18,"10,263",-0.57,"7,398",-0.02,,"14,691",-0.17,"13,263",-0.44,"10,798",0.35
The Ultimate Evil and Hatred Baby Janemba,Extreme,AGL,,"8,474",-0.77,"8,134",-0.74,"4,717",-0.56,,"10,474",-0.67,"10,134",-0.62,"6,717",-0.4,,"13,074",-0.62,"13,134",-0.48,"10,117",0.04
Hero Who Unites the World Great Saiyaman 3,Super,TEQ,,"9,886",-0.33,"8,427",-0.63,"5,296",-0.22,,"11,886",-0.25,"10,427",-0.51,"7,296",-0.08,,"14,486",-0.23,"13,827",-0.25,"10,296",0.12
Unmeasurable Super Combat Power Super Saiyan 3 Gohan (Teen),Super,INT,,"9,065",-0.59,"9,454",-0.21,"4,423",-0.74,,"11,065",-0.49,"11,454",-0.12,"6,423",-0.56,,"14,065",-0.34,"14,454",-0.04,"9,423",-0.28
Savage and Sly Majin Buu (Pure) (Babidi),Extreme,INT,,"9,577",-0.42,"7,583",-0.96,"4,901",-0.45,,"11,577",-0.34,"9,583",-0.83,"6,901",-0.3,,"14,577",-0.2,"12,583",-0.67,"9,901",-0.06
Creation of a New History Sealas,Extreme,STR,,"9,681",-0.39,"9,741",-0.1,"3,756",-1.13,,"11,681",-0.31,"11,741",-0.01,"5,756",-0.92,,"14,681",-0.17,"15,141",0.19,"8,356",-0.78
Intensely Trained Body and Mind Super Paikuhan,Super,STR,,"8,929",-0.63,"8,205",-0.71,"4,439",-0.73,,"10,929",-0.53,"10,205",-0.59,"6,439",-0.55,,"13,929",-0.38,"13,605",-0.33,"9,039",-0.46
Strike for Destiny Super Saiyan Gohan (Teen),Super,PHY,,"8,440",-0.78,"8,318",-0.67,"4,655",-0.6,,"10,440",-0.68,"10,318",-0.55,"6,655",-0.43,,"13,840",-0.41,"13,318",-0.42,"9,255",-0.36
Earnest Determination Nail,Super,AGL,,"11,118",0.06,"7,688",-0.92,"5,604",-0.03,,"13,118",0.13,"9,688",-0.79,"7,604",0.09,,"15,718",0.12,"12,688",-0.63,"11,004",0.45
Innocent Friendship Gohan (Kid),Super,TEQ,,"7,493",-1.08,"6,864",-1.25,"3,924",-1.03,,"9,493",-0.97,"8,864",-1.1,"5,924",-0.83,,"12,093",-0.89,"12,264",-0.78,"8,924",-0.52
Proudest Moment Brianne de Chateau,Super,INT,,"7,696",-1.02,"8,866",-0.45,"4,716",-0.56,,"9,696",-0.91,"10,866",-0.34,"6,716",-0.4,,"12,696",-0.72,"13,866",-0.24,"9,716",-0.15
Immaculately Innocent Approach Chi-Chi (Youth),Super,PHY,,"7,220",-1.17,"8,752",-0.49,"5,097",-0.33,,"9,220",-1.05,"10,752",-0.38,"7,097",-0.19,,"12,620",-0.75,"13,752",-0.28,"9,697",-0.16
Dispersion of Evil Cell Jr.,Extreme,AGL,,"9,578",-0.42,"8,674",-0.53,"5,142",-0.31,,"11,578",-0.34,"10,674",-0.41,"7,142",-0.16,,"14,178",-0.31,"13,674",-0.3,"10,542",0.23
Newly Acquired Chance Android #16,Super,INT,,"12,144",0.39,"7,113",-1.15,"5,809",0.09,,"14,144",0.44,"9,113",-1,"7,809",0.2,,"17,144",0.51,"12,113",-0.83,"10,809",0.36
Victor of the Future Super Saiyan Trunks (Future),Super,TEQ,,"8,551",-0.75,"9,207",-0.31,"4,988",-0.4,,"10,551",-0.65,"11,207",-0.21,"6,988",-0.25,,"13,151",-0.6,"14,607",0.01,"9,988",-0.02
Roar of Rage Gohan (Kid),Super,INT,,"11,775",0.27,"8,945",-0.42,"5,181",-0.28,,"13,775",0.33,"10,945",-0.31,"7,181",-0.14,,"16,775",0.41,"13,945",-0.21,"10,181",0.07
Saiyans' Limitless Potential Vegeta,Extreme,INT,,"10,425",-0.16,"9,350",-0.25,"5,350",-0.18,,"12,425",-0.08,"11,350",-0.16,"7,350",-0.05,,"15,425",0.03,"14,350",-0.08,"10,350",0.15
Magnificent Squadron Thouser (Cooler's Armored Squad),Extreme,PHY,,"8,757",-0.68,"9,248",-0.3,"4,834",-0.49,,"10,757",-0.59,"11,248",-0.2,"6,834",-0.33,,"14,157",-0.32,"14,248",-0.11,"9,434",-0.28
